"text","url","date"
"Mary Slessor
Papa Higino
Paulino II de Aquileia
Vital de Gaza","http://pt.wikipedia.org/wiki/11_de_janeiro","11 de janeiro"
"No calendário romano era o 3.º dia (III) antes dos idos de janeiro.
No calendário litúrgico tem a letra dominical D para o dia da semana.
No calendário gregoriano a epacta do dia é xx.","http://pt.wikipedia.org/wiki/11_de_janeiro","11 de janeiro"
"Dia do Empresário Contábil","http://pt.wikipedia.org/wiki/12_de_janeiro","12 de janeiro"
"Aniversário do Município de Belém, capital do Estado do Pará.","http://pt.wikipedia.org/wiki/12_de_janeiro","12 de janeiro"
"Bento Biscop
Elredo de Rievaulx
João de Ravena
Marguerite Bourgeoys
Martinho de Leão
Tatiana de Roma","http://pt.wikipedia.org/wiki/12_de_janeiro","12 de janeiro"
"No calendário romano era o dia da véspera dos idos de janeiro.
No calendário litúrgico tem a letra dominical E para o dia da semana.
No calendário gregoriano a epacta do dia é xix.","http://pt.wikipedia.org/wiki/12_de_janeiro","12 de janeiro"
"Dia Internacional do Leonismo
Ano Novo na Rússia segundo o calendário Juliano","http://pt.wikipedia.org/wiki/13_de_janeiro","13 de janeiro"
"Dia da Democracia","http://pt.wikipedia.org/wiki/13_de_janeiro","13 de janeiro"
"Restauração do Município - Feriado Municipal nos Municípios de Cadaval, Santa Marta de Penaguião, Viana do Alentejo e Vila Nova de Poiares","http://pt.wikipedia.org/wiki/13_de_janeiro","13 de janeiro"
"Hilário de Poitiers","http://pt.wikipedia.org/wiki/13_de_janeiro","13 de janeiro"
"No calendário romano era o dia dos idos de janeiro.
No calendário litúrgico tem a letra dominical F para o dia da semana.
No calendário gregoriano a epacta do dia é xviii.","http://pt.wikipedia.org/wiki/13_de_janeiro","13 de janeiro"
"Ano Novo – para os sérvios ortodoxos Feriado nacional local.","http://pt.wikipedia.org/wiki/14_de_janeiro","14 de janeiro"
"Aniversário do município de Miguelópolis, SP","http://pt.wikipedia.org/wiki/14_de_janeiro","14 de janeiro"
"Batalha das Linhas de Elvas - Feriado municipal em Elvas.","http://pt.wikipedia.org/wiki/14_de_janeiro","14 de janeiro"
"Félix de Nola
Fulgêncio de Cartagena
Macrina Maior","http://pt.wikipedia.org/wiki/14_de_janeiro","14 de janeiro"
"No calendário romano era o 19.º dia (XIX) antes das calendas de fevereiro.
No calendário litúrgico tem a letra dominical G para o dia da semana.
No calendário gregoriano a epacta do dia é xvii.","http://pt.wikipedia.org/wiki/14_de_janeiro","14 de janeiro"
"Dia Mundial do Compositor","http://pt.wikipedia.org/wiki/15_de_janeiro","15 de janeiro"
"Dia de Hangul - Coreia do Norte","http://pt.wikipedia.org/wiki/15_de_janeiro","15 de janeiro"
"Dia do Museu de Arte Moderna – Rio de Janeiro
Dia do Festival da Carmentália","http://pt.wikipedia.org/wiki/15_de_janeiro","15 de janeiro"
"Aniversário do Município de Unaí, MG
Aniversário do município de Nova Iguaçu, RJ
Aniversário do município de Paraíba do Sul, RJ
Aniversário do município de Ouro Velho, PB
Feriado de Santo Amaro em Campos dos Goytacazes, RJ; Jaboatão dos Guararapes, PE e outras cidades","http://pt.wikipedia.org/wiki/15_de_janeiro","15 de janeiro"
"Santo Amaro - Feriado Municipal em Santa Cruz.","http://pt.wikipedia.org/wiki/15_de_janeiro","15 de janeiro"
"Dia de ""Nhu Santo Amaro"" – Dia do Concelho do Tarrafal de Santiago","http://pt.wikipedia.org/wiki/15_de_janeiro","15 de janeiro"
"Arnaldo Janssen
Efísio
Ita
Macário do Egito
Nossa Senhora de Banneux
Paulo de Tebas
Pierre de Castelnau","http://pt.wikipedia.org/wiki/15_de_janeiro","15 de janeiro"
"No calendário romano era o 18.º dia (XVIII) antes das calendas de fevereiro.
No calendário litúrgico tem a letra dominical A para o dia da semana.
No calendário gregoriano a epacta do dia é xvi.","http://pt.wikipedia.org/wiki/15_de_janeiro","15 de janeiro"
"José Vaz
Mártires de Marrocos
Papa Marcelo I","http://pt.wikipedia.org/wiki/16_de_janeiro","16 de janeiro"
"No calendário romano era o 17.º dia (XVII) antes das calendas de fevereiro.
No calendário litúrgico tem a letra dominical B para o dia da semana.
No calendário gregoriano a epacta do dia é xv.","http://pt.wikipedia.org/wiki/16_de_janeiro","16 de janeiro"
"Dia Mundial do Pizzaiolo","http://pt.wikipedia.org/wiki/17_de_janeiro","17 de janeiro"
"Dia do Ceará, em alusão à independência da então capitania em relação a Pernambuco, em 1799.","http://pt.wikipedia.org/wiki/17_de_janeiro","17 de janeiro"
"Angelo Paoli
Antão do Deserto
Sulpício","http://pt.wikipedia.org/wiki/17_de_janeiro","17 de janeiro"
"No calendário romano era o 16.º dia (XVI) antes das calendas de fevereiro.
No calendário litúrgico tem a letra dominical C para o dia da semana.
No calendário gregoriano a epacta do dia é xiv.","http://pt.wikipedia.org/wiki/17_de_janeiro","17 de janeiro"
"Fim do mês Sharaf (honra) no Calendário bahá'í.","http://pt.wikipedia.org/wiki/18_de_janeiro","18 de janeiro"
"Confissão de Pedro
Jaime Hilário
Margarida da Hungria
Volusiano de Tours","http://pt.wikipedia.org/wiki/18_de_janeiro","18 de janeiro"
"No calendário romano era o 15.º dia (XV) antes das calendas de fevereiro.
No calendário litúrgico tem a letra dominical D para o dia da semana.
No calendário gregoriano a epacta do dia é xiii.","http://pt.wikipedia.org/wiki/18_de_janeiro","18 de janeiro"
"Feriado do Timket na Etiópia.
Festival de Thor, divindade dos relâmpagos e dos trovões na mitologia nórdica.","http://pt.wikipedia.org/wiki/19_de_janeiro","19 de janeiro"
